Year,Annual_Mean_Temp,Temp_Anomaly,City
2022,24.423214285714284,-0.36433857131810754,Bengaluru
2023,25.168421052631576,0.3808681955991844,Bengaluru
2024,26.922754491017965,2.1352016339855737,Bengaluru
1951,28.59386299071233,-0.24169011738914037,Chennai
1952,28.734918036748635,-0.100635071352837,Chennai
1953,28.5403287469726,-0.29522436112887007,Chennai
1954,28.293917768136986,-0.5416353399644862,Chennai
1955,28.069410924972605,-0.7661421831288671,Chennai
1956,28.03587432769126,-0.7996787804102112,Chennai
1957,28.30131498105479,-0.5342381270466809,Chennai
1958,28.801547959904113,-0.03400514819735889,Chennai
1959,28.511958939863018,-0.3235941682384542,Chennai
1960,28.24717212375683,-0.5883809843446421,Chennai
1961,28.404520586178084,-0.43103252192338815,Chennai
1962,28.122232813260272,-0.7133202948411999,Chennai
1963,28.23019176646575,-0.6053613416357209,Chennai
1964,28.547062785191258,-0.2884903229102136,Chennai
1965,28.5482328909589,-0.2873202171425717,Chennai
1966,28.76736986857534,-0.0681832395261317,Chennai
1967,28.122876674095888,-0.7126764340055836,Chennai
1968,28.61923493446721,-0.2163181736342601,Chennai
1969,28.806027411054792,-0.02952569704667951,Chennai
1970,28.30089039482192,-0.5346627132795518,Chennai
1971,28.189424627027396,-0.6461284810740757,Chennai
1972,28.702008171721314,-0.13354493638015796,Chennai
1973,28.93105479990411,0.09550169180263879,Chennai
1974,28.33358907030137,-0.5019640378001,Chennai
1975,28.447232865547946,-0.38832024255352593,Chennai
1976,28.514822417882513,-0.3207306902189586,Chennai
1977,28.594438299342468,-0.24111480875900426,Chennai
1978,28.71606852130137,-0.11948458680010177,Chennai
1979,29.033287657164383,0.1977345490629112,Chennai
1980,29.067226769385247,0.2316736612837751,Chennai
1981,28.73663010538356,-0.09892300271791044,Chennai
1982,29.004315041876712,0.16876193377524018,Chennai
1983,29.013342476013698,0.17778936791222577,Chennai
1984,28.62378415102459,-0.21176895707688104,Chennai
1985,28.62060273047945,-0.21495037762202074,Chennai
1986,29.020821976342468,0.1852688682409962,Chennai
1987,29.150246573,0.3146934648985287,Chennai
1988,28.903934442308742,0.06838133420727033,Chennai
1989,28.625986254520548,-0.20956685358092386,Chennai
1990,28.75656163991781,-0.07899146818366276,Chennai
1991,28.883890428835617,0.048337320734145095,Chennai
1992,28.8341256738388,-0.0014274342626734438,Chennai
1993,28.730547965246576,-0.10500514285489615,Chennai
1994,28.741493185931507,-0.09405992216996495,Chennai
1995,28.706452037972603,-0.1291010701288684,Chennai
1996,28.528210402759562,-0.30734270534190955,Chennai
1997,28.830917807835615,-0.004635300265857012,Chennai
1998,29.421260248465753,0.5857071403642813,Chennai
1999,28.727739744260273,-0.1078133638411991,Chennai
2000,28.52528690374317,-0.3102662043583031,Chennai
2001,29.00816441110959,0.172611303008118,Chennai
2002,29.19995888210959,0.36440577400811947,Chennai
2003,29.423493210068493,0.5879401019670212,Chennai
2004,28.80562839103825,-0.02992471706322064,Chennai
2005,29.238342428739728,0.4027893206382558,Chennai
2006,29.044945217863013,0.20939210976154143,Chennai
2007,28.806616419945204,-0.02893668815626782,Chennai
2008,28.928620213333335,0.09306710523186368,Chennai
2009,29.21905473428767,0.38350162618619876,Chennai
2010,29.007821908753424,0.1722688006519526,Chennai
2011,28.936931510698628,0.10137840259715603,Chennai
2012,29.43494536692623,0.5993922588247571,Chennai
2013,29.131534270849315,0.29598116274784303,Chennai
2014,29.17863588469863,0.34308277659715714,Chennai
2015,29.247520433780824,0.41196732567935257,Chennai
2016,29.64963990362022,0.8140867955187474,Chennai
2017,29.52659942142466,0.6910463133231879,Chennai
2018,29.3262450230274,0.4906919149259288,Chennai
2019,29.66183843680441,0.8262853287029372,Chennai
2020,29.125341209740437,0.2897881016389654,Chennai
2021,29.523870056497177,0.6883169483957055,Chennai
2022,29.4983286908078,0.6627755827063275,Chennai
2023,29.668627450980395,0.8330743428789233,Chennai
2024,29.723976608187137,0.8884235000856648,Chennai
1951,25.34593155163151,0.3300762326753599,Delhi
1952,25.403169400662566,0.38731408170641757,Delhi
1953,25.647356176371236,0.6315008574150873,Delhi
1954,25.032342460365754,0.0164871414096055,Delhi
1955,24.87061638770411,-0.14523893125203813,Delhi
1956,25.09226775637022,0.07641243741407067,Delhi
1957,24.54884931041233,-0.46700600854381946,Delhi
1958,25.688739733543834,0.6728844145876849,Delhi
1959,25.20391783253562,0.1880625135794709,Delhi
1960,25.097021837782787,0.08116651882663817,Delhi
1961,24.547246546217806,-0.46860877273834234,Delhi
1962,24.84971233137534,-0.16614298758080892,Delhi
1963,24.968287701790413,-0.04756761716573621,Delhi
1964,24.73898905123497,-0.2768662677211786,Delhi
1965,24.921904157167123,-0.0939511617890254,Delhi
1966,25.131041055673972,0.11518573671782306,Delhi
1967,24.540780835863014,-0.4750744830931346,Delhi
1968,24.468087417592894,-0.5477679013632546,Delhi
1969,25.11001370273699,0.09415838378084018,Delhi
1970,24.743643836120548,-0.27221148283560126,Delhi
1971,24.186684941928764,-0.8291703770273848,Delhi
1972,24.836994502351093,-0.17886081660505582,Delhi
1973,24.922972596430135,-0.0928827225260136,Delhi
1974,24.89731507799315,-0.11854024096300009,Delhi
1975,24.228876737217806,-0.7869785817383423,Delhi
1976,24.48288247556011,-0.5329728433960383,Delhi
1977,24.687479439534247,-0.32837587942190183,Delhi
1978,24.56117808658767,-0.45467723236847846,Delhi
1979,25.08641093937534,0.07055562041919217,Delhi
1980,25.173087399043716,0.15723208008756728,Delhi
1981,24.834068494343835,-0.18178682461231332,Delhi
1982,24.283917801263012,-0.7319375176931366,Delhi
1983,23.857246567034245,-1.1586087519219035,Delhi
1984,24.67647539961885,-0.33937991933729705,Delhi
1985,24.998780781573974,-0.017074537382175237,Delhi
1986,24.60190413868082,-0.41395118027532973,Delhi
1987,25.8455205415,0.8296652225438521,Delhi
1988,25.31144806872541,0.29559274976926275,Delhi
1989,24.556890398313698,-0.4589649206424511,Delhi
1990,24.743342444816438,-0.2725128741397107,Delhi
1991,25.05647945349315,0.04062413453700131,Delhi
1992,24.63387976846585,-0.3819755504902993,Delhi
1993,25.131589034501367,0.11573371554521827,Delhi
1994,25.090506809072604,0.07465149011645522,Delhi
1995,25.006136950864384,-0.009718368091764518,Delhi
1996,24.6723633851612,-0.34349193379494736,Delhi
1997,23.89294521912055,-1.1229100998356003,Delhi
1998,25.081493147119176,0.06563782816302677,Delhi
1999,25.411246572757538,0.39539125380138884,Delhi
2000,24.96851096580191,-0.04734435315423724,Delhi
2001,24.979438368939725,-0.036416950016423755,Delhi
2002,25.68149312871644,0.6656378097602911,Delhi
2003,24.677753431586304,-0.33810188736984514,Delhi
2004,25.236311457200824,0.2204561382446748,Delhi
2005,24.82217811059726,-0.19367720835888846,Delhi
2006,25.504205546356165,0.48835022740001577,Delhi
2007,24.96632874592466,-0.04952657303148911,Delhi
2008,24.802376981846997,-0.21347833710915154,Delhi
2009,25.602178073354796,0.5863227543986476,Delhi
2010,25.515137031780824,0.4992817128246756,Delhi
2011,24.79127398420137,-0.22458133475477737,Delhi
2012,24.918442609474045,-0.09741270948210357,Delhi
2013,24.79331512799452,-0.22254019096162736,Delhi
2014,24.815013940735618,-0.20084137822053094,Delhi
2015,25.080231648143837,0.06437632918768799,Delhi
2016,25.76927868582377,0.7534233668676222,Delhi
2017,25.441952707023287,0.4260973880671379,Delhi
2018,25.21343198839178,0.19757666943563024,Delhi
2019,24.82746308448352,-0.1883922344726301,Delhi
2020,24.5812989224959,-0.43455639646024835,Delhi
2021,25.082465753424657,0.06661043446850812,Delhi
2022,25.50917808219178,0.49332276323563207,Delhi
2023,25.750895522388056,0.7350402034319075,Delhi
2024,29.143103448275863,4.127248129319714,Delhi
1951,27.096561678671232,-0.14539467384352633,Hyderabad
1952,27.094535496844262,-0.14742085567049656,Hyderabad
1953,27.013452040013696,-0.2285043125010624,Hyderabad
1954,26.76563010672603,-0.47632624578873006,Hyderabad
1955,26.45110957912329,-0.7908467733914684,Hyderabad
1956,26.50056009989071,-0.7413962526240496,Hyderabad
1957,26.91917804038356,-0.3227783121311987,Hyderabad
1958,27.26619179079452,0.024235438279760046,Hyderabad
1959,27.075465792849315,-0.16649055966544424,Hyderabad
1960,27.07316937072404,-0.16878698179071705,Hyderabad
1961,26.81284932036986,-0.4291070321448984,Hyderabad
1962,26.387452040561648,-0.8545043119531108,Hyderabad
1963,26.6312192290137,-0.6107371235010604,Hyderabad
1964,27.278292339385242,0.03633598687048334,Hyderabad
1965,27.12053423458904,-0.121422117925718,Hyderabad
1966,27.428027360575342,0.1860710080605834,Hyderabad
1967,27.03778081391781,-0.20417553859694948,Hyderabad
1968,26.94590161126913,-0.29605474124563,Hyderabad
1969,27.063246548150683,-0.17870980436407535,Hyderabad
1970,26.581356124143838,-0.6606002283709209,Hyderabad
1971,26.467205478726026,-0.774750873788733,Hyderabad
1972,27.491270513592895,0.24931416107813575,Hyderabad
1973,27.480835650739724,0.23887929822496545,Hyderabad
1974,26.895452056602743,-0.34650429591201615,Hyderabad
1975,26.60026029160274,-0.6416960609120181,Hyderabad
1976,27.065040998784152,-0.17691535373060674,Hyderabad
1977,27.250082211821915,0.008125859307156702,Hyderabad
1978,26.981986215493148,-0.259970137021611,Hyderabad
1979,27.647095887904108,0.405139535389349,Hyderabad
1980,27.706653017882513,0.4646966653677538,Hyderabad
1981,27.063068549246577,-0.1788878032681822,Hyderabad
1982,27.316068475424657,0.07411212290989866,Hyderabad
1983,27.070397245054796,-0.17155910745996295,Hyderabad
1984,27.14651639081967,-0.09543996169508873,Hyderabad
1985,27.166630099684934,-0.07532625282982508,Hyderabad
1986,27.408424657150686,0.1664683046359272,Hyderabad
1987,27.023095923917808,-0.2188604285969511,Hyderabad
1988,27.166229534754095,-0.07572681776066403,Hyderabad
1989,26.88930137569863,-0.35265497681612956,Hyderabad
1990,26.63757533487671,-0.6043810176380475,Hyderabad
1991,27.272027423260273,0.03007107074551385,Hyderabad
1992,27.294836031282788,0.05287967876802924,Hyderabad
1993,27.293068515931505,0.051112163416746625,Hyderabad
1994,27.261753467643835,0.01979711512907656,Hyderabad
1995,27.26747942889041,0.02552307637565221,Hyderabad
1996,27.413497273005465,0.17154092049070613,Hyderabad
1997,27.35883562547945,0.1168792729646917,Hyderabad
1998,27.665561665479455,0.42360531296469617,Hyderabad
1999,26.951246614534245,-0.2907097379805137,Hyderabad
2000,26.99875682834699,-0.24319952416776758,Hyderabad
2001,27.322890399273973,0.08093404675921434,Hyderabad
2002,27.54782192663014,0.30586557411537996,Hyderabad
2003,27.847383581575343,0.6054272290605844,Hyderabad
2004,27.136516376885247,-0.1054399756295119,Hyderabad
2005,27.333342437232876,0.09138608471811693,Hyderabad
2006,27.120506806424654,-0.12144954609010483,Hyderabad
2007,27.16183564819178,-0.08012070432297946,Hyderabad
2008,27.21448083400273,-0.02747551851202701,Hyderabad
2009,27.880397315876714,0.6384409633619548,Hyderabad
2010,27.512657531438357,0.27070117892359846,Hyderabad
2011,27.178821895352055,-0.06313445716270394,Hyderabad
2012,27.610792399904373,0.36883604738961395,Hyderabad
2013,27.26424660360274,0.02229025108798055,Hyderabad
2014,27.26762657417808,0.025670221663322224,Hyderabad
2015,28.08864695663014,0.8466906041153806,Hyderabad
2016,27.71922578319672,0.4772694306819609,Hyderabad
2017,27.55714079712329,0.3151844446085299,Hyderabad
2018,27.36022120827397,0.11826485575921097,Hyderabad
2019,27.902491550246577,0.6605351977318179,Hyderabad
2020,27.253096811038255,0.011140458523495766,Hyderabad
2021,26.973972602739725,-0.26798374977503414,Hyderabad
2022,27.014794520547945,-0.22716183196681428,Hyderabad
2023,27.58188622754491,0.33992987503015115,Hyderabad
2024,31.261206896551727,4.019250544036968,Hyderabad
1951,26.903589037098634,0.18875934638588632,Kolkata
1952,26.684426217814206,-0.030403472898541395,Kolkata
