state_name,type,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Tamil Nadu,Removals,2057491.03,2057491.03,2101333.2800000000,2101333.2800000000,2101333.2800000000,2049733.22,-38853901.92,-38853901.92,-2203247.59,-2203247.59
Telangana,Emissions,675882.0700000000,675882.0700000000,625272.11,625272.11,625272.11,655341.1800000000,10490950.34,14404323.47,35632485.15,43366386.69
Telangana,Removals,632694.5200000000,632694.5200000000,653762.96,653762.96,653762.96,584457.1500000000,31045411.75,31045411.75,-9976759.92,-9976759.92
Tripura,Emissions,1790022.4,1769660.4500000000,1706802.2,1781964.34,1881311.45,2126107.18,2453455.39,2112069.39,2140592.77,2457515.22
Tripura,Removals,-2943536.91,-2943536.91,-2947467.91,-2947467.91,-2947467.91,-2941977.15,-418813.39,-418813.39,2409865.94,2409865.94
Uttar Pradesh,Emissions,123954119.86000000,132537671.41,138204545.91,143857705.88,150166937.76,158850290.25,167986224.0,182521025.23,190243206.28,187543285.5
Uttar Pradesh,Removals,-5114465.83,-5114465.83,-4448152.85,-4448152.85,-4448152.85,-4789678.03,-1959366.5,-1959366.5,-5491143.84,-5491143.84
Uttaranchal,Emissions,3410409.05,3588972.99,4468435.87,4693251.55,6038934.5,6041648.8100000000,6822843.900000000,7518426.06,12390105.73,8372477.9
Uttaranchal,Removals,-540083.35,-540083.35,-560224.84,-560224.84,-560224.84,-554636.74,4991870.73,4991870.73,-571751.43,-571751.43
West Bengal,Emissions,86923132.02000000,91203824.08,96503943.27,99452610.16,106983267.34,111560978.07,126221706.68,133756582.19,134922435.96,130388697.77
West Bengal,Removals,-20476044.52,-20476044.52,-20476134.44,-20476134.44,-20476134.44,-20510052.71,-1151911.97,-1151911.97,-1151911.97,-1151911.97
